age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
66,Private,26033,5th-6th,3,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,9,0,40,United-States,<=50K
43,Private,316017,Preschool,1,Married-civ-spouse,Farming-fishing,Other-relative,White,Female,15,1,43,El-Salvador,<=50K
48,Federal-gov,220697,12th,6,Never-married,Exec-managerial,Not-in-family,White,Female,15,0,40,United-States,<=50K
27,Private,242687,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,>50K
51,State-gov,432232,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,37,United-States,<=50K
18,Private,250073,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,15,0,22,United-States,<=50K
23,Private,265260,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,17,0,46,United-States,<=50K
26,Self-emp-not-inc,177002,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,Yugoslavia,<=50K
56,State-gov,196851,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,>50K
29,Private,152283,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,0,35,United-States,<=50K
45,Self-emp-not-inc,101688,10th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,14,0,58,United-States,>50K
23,Private,150478,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,8,0,40,United-States,<=50K
22,Private,189672,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,45,United-States,<=50K
26,Private,188807,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,8,1,57,United-States,<=50K
31,Private,447179,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Male,7,1,58,United-States,<=50K
17,Private,276471,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,44,United-States,<=50K
44,Private,42467,Some-college,10,Separated,Tech-support,Unmarried,White,Female,7,0,50,United-States,<=50K
37,Private,120304,Some-college,10,Divorced,Tech-support,Unmarried,White,Male,9,0,9,United-States,<=50K
31,Private,166743,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,State-gov,121089,Masters,11,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,50,United-States,<=50K
35,Private,142607,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,15,0,50,United-States,<=50K
60,Local-gov,246762,1st-4th,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,14,0,40,United-States,<=50K
30,Private,233999,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,13,0,30,United-States,>50K
58,Private,327184,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,22,0,46,United-States,>50K
22,?,208145,Some-college,10,Never-married,?,Not-in-family,White,Male,11,0,40,United-States,<=50K
17,Private,275972,11th,7,Never-married,Handlers-cleaners,Own-child,Black,Female,7,0,25,United-States,<=50K
48,Private,277355,Some-college,10,Divorced,Sales,Unmarried,White,Male,12,0,40,United-States,<=50K
54,Self-emp-not-inc,208724,9th,3,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
21,Private,231897,Some-college,10,Never-married,Craft-repair,Own-child,Black,Male,0,0,44,United-States,<=50K
29,Private,32840,11th,7,Never-married,Transport-moving,Unmarried,Black,Male,17,0,45,United-States,<=50K
20,Private,246201,10th,6,Never-married,Farming-fishing,Own-child,White,Male,23,0,45,United-States,<=50K
34,Private,728877,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,13,0,40,Honduras,<=50K
37,Private,168892,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,8,0,50,United-States,>50K
33,Private,272503,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,19,United-States,<=50K
43,Private,278115,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,84,United-States,<=50K
27,Private,160410,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
40,Self-emp-not-inc,155884,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,1,43,United-States,>50K
21,?,296915,Some-college,10,Never-married,?,Own-child,White,Female,15,1,40,United-States,<=50K
48,Local-gov,128813,Assoc-voc,11,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,11,1,45,United-States,<=50K
30,Private,190110,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,20,0,50,United-States,>50K
70,Self-emp-not-inc,285822,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,9,0,46,United-States,<=50K
25,Private,237910,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,162408,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Female,0,0,40,Jamaica,<=50K
20,?,160744,HS-grad,9,Never-married,?,Own-child,White,Male,1,0,23,United-States,<=50K
26,Private,193712,11th,7,Married-civ-spouse,Sales,Husband,White,Male,6,0,20,United-States,<=50K
50,Private,189060,Some-college,10,Separated,Tech-support,Unmarried,White,Male,5,0,40,United-States,<=50K
48,Private,20269,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,89,United-States,<=50K
27,Private,187514,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,5,1909,14,United-States,<=50K
50,Private,274628,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
49,Private,212328,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7538,0,40,United-States,<=50K
42,Private,184713,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,5,0,40,United-States,>50K
63,Private,56914,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1931,40,United-States,<=50K
22,Private,185596,Bachelors,11,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
